word,definition
Anxiety,"a feeling of worry, nervousness, or unease about something with an uncertain outcome."
Ambition,"a strong desire to do or achieve something."
Envy,"a feeling of discontented or resentful longing aroused by someone else's possessions, qualities, or luck."
Patience,"the capacity to accept or tolerate delay, problems, or suffering without becoming annoyed or anxious."
Expectation,"a strong belief that something will happen or be the case."
Assumption,"a thing that is accepted as true or as certain to happen, without proof."
Belief,"an acceptance that something exists or is true, especially one without proof."
Hope,"a feeling of expectation and desire for a particular thing to happen."
Despondency,"low spirits from loss of hope or courage."
Sorrow,"a feeling of deep distress caused by loss, disappointment, or other misfortune suffered by oneself or others."
Imagination,"the faculty or action of forming new ideas, or images or concepts of external objects not present to the senses."
Interest,"the feeling of wanting to know or learn about something or someone."
Hedonism,"the prioritisation of pleasure in one's lifestyle, actions, or thoughts."
Planning,"the process of thinking regarding the activities required to achieve a desired goal."
Mental travel,"the capacity to mentally reconstruct personal events from the past as well as to imagine possible scenarios in the future."
Monotony,"lack of variety and interest. tedious repetition and routine."
Money,"medium of exchange, a unit of account, a store of value and sometimes, a standard of deferred payment."
Hedonism,"the pursuit of pleasure. sensual self-indulgence."
Imposter Syndrome,"fearing that others will discover you’re not as competent as you seem, even when you’re highly capable."
Low Self-Esteem,"negative self-talk, a tendency to avoid challenges, high sensitivity to criticism, and often a reluctance to try new things."
Perfectionism,"procrastination due to fear of making mistakes."
Fear of Failure,"avoidance of challenges, lack of confidence, anxiety about potential failure, and overemphasis on outcomes rather than the learning process."
Social Anxiety,"a fear of being judged, embarrassed, or humiliated in social situations. excessive worry about others’ opinions."
Comparison Syndrome,"feelings of jealousy or inferiority, a focus on others’ successes and downplaying one’s own, and often a distorted view of others’ lives."
Self-Criticism,"negative self-talk, inability to accept praise, high levels of shame or guilt over minor mistakes, and reluctance to take pride in accomplishments."
People-Pleasing,"a pattern of prioritizing others' needs over one’s own, often to gain approval or avoid rejection."
Lack of Confidence,"a feeling of uncertainty about one’s abilities or decisions, often leading to hesitancy in taking action."
Analysis Paralysis,"inability to make decisions due to overanalyzing options and fearing the wrong choice."
Self-Doubt,"self-doubt is a lack of confidence in one's abilities or decisions, often causing hesitation and second-guessing."
Support System,"a network of trusted people who provide encouragement, guidance, and reassurance during challenging times."
